company_name,contact_name,designation,phone,email,website,address,industry,source,notes
Akshaya Shanthi,,,88704 81818,,https://www.akshaya.com/,"27/44, Mount Road, 27/44, Anna Salai, Border Thottam, Padupakkam, Triplicane, Chennai, Tamil Nadu 600002, Chennai",IT / Tech,OpenStreetMap,"osm/node/366488527 | Chennai, TN"
GlobalEnglish India Pvt Ltd.,,,+91 44 4564 1111,,https://globalenglish.com/,"Mount Poonamallee Highway, Chennai, 600089",IT / Tech,OpenStreetMap,"osm/node/2651399932 | Chennai, TN"
Blaze Dream Technologies Pvt Ltd,,,+914442047468,reach@blazedream.com,https://www.blazedream.com/,"Pycrofts Garden Road, Chennai, 600006",IT / Tech,OpenStreetMap,"osm/node/4221573010 | Chennai, TN"
Hexolabs Interactive Tech Pvt Ltd,,,044 42169699,,,"Type II/17, Dr.VSI Estate, Thiruvanmiyur, chennai, 600041",IT / Tech,OpenStreetMap,"osm/node/4978570060 | Chennai, TN"
Ducen IT,,,+91 44 4225 6666,sales@ducenit.com,https://www.ducenit.com/,"# 4/363, Block-B, III Floor, Old Mahabalipuram Road, CHENNAI, 600096",IT / Tech,OpenStreetMap,"osm/node/5671945731 | Chennai, TN"
Beez Innovation Labs Pvt. Ltd.,,,+91 44 4004 0468,,https://www.beezlabs.com/,"HQ10 Primus, Office no. 205, 2nd floor, SP-7A, South Phase, Guindy Industrial Estate, Guindy, Chennai, 600032",IT / Tech,OpenStreetMap,"osm/node/6788124685 | Chennai, TN"
Arasu Infotech,,,9943400155,,arasuinfotechservices.com,"No 45, 1st and 2nd floor, Om sakthi nagar, Kasi Towers, Mettukuppam, Vanagaram, Chennai, 600095",IT / Tech,OpenStreetMap,"osm/node/10698896818 | Chennai, TN"
Truckrr Information services,,,04447768360,,https://www.truckrr.com/,"4, New MGR Road, Veeramamunivar, 1st street, CHENNAI, 600096",IT / Tech,OpenStreetMap,"osm/node/11152623082 | Chennai, TN"
Pynesec Technologies Private Limited - Cyber security Services Company,,,+919043111754,,https://www.pynesec.com/,"4/2, Samayapuram Nagar Main Road, porur, 600116",IT / Tech,OpenStreetMap,"osm/node/12027874068 | Chennai, TN"
Nesh Technologies,,,9790706090,,https://nesh.live,"Type II/8, Dr.VSI Estate, Thiruvanmiyur, chennai, 600041",IT / Tech,OpenStreetMap,"osm/node/12127340842 | Chennai, TN"
Freshworks,,,+91 44 6667 8040,,https://freshworks.com,"40, Global Infocity, Dr MGR Main Road, Kodandarama Nagar, Perungudi, 600096",IT / Tech,OpenStreetMap,"osm/node/13286910921 | Chennai, TN"
Wcart,,,+91 9150 570 507,,https://wcart.io/,"TS-2,, SIDCO Micro Industrial Estate, Thirumudivakkam, Chennai, 600044",IT / Tech,OpenStreetMap,"osm/node/13518782880 | Chennai, TN"
Novalnet e-Solutions Pvt. Ltd.,,,+91 44 43574176,info@novalnet-solutions.com,https://www.novalnet-solutions.com/,"131, Erikkarai Street, Chennai, 600059",IT / Tech,OpenStreetMap,"osm/way/354989823 | Chennai, TN"
Impiger Technologies,,,+91 422 647 9994,,https://www.impigertech.com/,"Coimbatore, 641045",IT / Tech,OpenStreetMap,"osm/node/4576658600 | Coimbatore, TN"
ByVal Technologies India Private Limited,,,+91 82484 74232,info@byval.in,https://byval.in,"No 13/42A, Harisudhan Buildings, Tex Park Road, Coimbatore, 641014",IT / Tech,OpenStreetMap,"osm/node/10576951708 | Coimbatore, TN"
SproutUp Solutions,,,+918300087703,,https://sproutup.co.in,"9/32A2, Vadavalli Road, Auto Nagar, Edayarpalayam, coimbatore, 641025",IT / Tech,OpenStreetMap,"osm/node/12393529112 | Coimbatore, TN"
Logic Soft Pvt. Ltd.,,,+914447981917,,https://www.logicsoft.co.in/,"#32/30, Chokkalingam Nagar, Chennai, 600028",Real Estate / Construction,OpenStreetMap,"osm/node/3118891215 | Chennai, TN"
MOTOR FINANCE CORPORATION,,,+91 44 2852 1868,motorfinance@live.in,,"55, Adithanar Road, Chennai, 600002",Real Estate / Construction,OpenStreetMap,"osm/node/4324801889 | Chennai, TN"
Stellar Business solution,,,9600193482,stellarbuzi@gmail.com,,"92nd St, Chennai, 600083",Real Estate / Construction,OpenStreetMap,"osm/node/5192973221 | Chennai, TN"
ObjectFrontier Software,,,(+91) 44-3061-2100,,https://www.objectfrontier.com/,"Taramani Road, Chennai, 600113",Real Estate / Construction,OpenStreetMap,"osm/node/5250282011 | Chennai, TN"
Ashok Leyland corporate office,,,04422206000,,https://www.ashokleyland.com/,"No.1 Sardar Patel road, Chennai, 600031",Real Estate / Construction,OpenStreetMap,"osm/node/5359126722 | Chennai, TN"
TVF - Contagious online media network private limited,,,044-49521737,,www.tvfplay.com,"New no 20, Old No 30, 3rd floor, Musiri Subramanium street, oliver road, Chennai",Real Estate / Construction,OpenStreetMap,"osm/node/5393408521 | Chennai, TN"
e-con Systems India Pvt. Ltd.,,,044-4010-5500,,https://www.e-consystems.com/,"Corporation Water Works Road, Chennai, 600032",Real Estate / Construction,OpenStreetMap,"osm/node/5771638253 | Chennai, TN"
BETA CAE Systems India Pvt. Ltd. (Chennai Office),,,+914430095400,,https://www.beta-cae.com/,"51, Rattha Tek Meadows Tower B, 3rd Floor, Rajiv Gandhi Salai (OMR), Sholinganallur, Chennai, 600119",Real Estate / Construction,OpenStreetMap,"osm/node/5804109153 | Chennai, TN"
Detroit Engineered Products,,,+914442141453,,http://www.depind.com,"2/86, 7th Avenue, Ashok Nagar, Chennai, 600083",Real Estate / Construction,OpenStreetMap,"osm/node/6011857185 | Chennai, TN"
McKinsey & Company Chennai Knowledge Center,,,+914430647500,,https://www.mckinsey.com/knowledge-network/chennai,Chennai,Real Estate / Construction,OpenStreetMap,"osm/node/6535108760 | Chennai, TN"
