company_name,contact_name,designation,phone,email,website,address,industry,source,notes
ITKX Technologies,,,+919442260944,,https://itkx.tech,"19, Bishop Main Road, Tiruchirappalli, 620017",IT / Tech,OpenStreetMap,"osm/node/12566963690 | Trichy, TN"
"Sri Meenakshi Nursing Home, Chennai",,,044 2345 5290,,,"3A, Railway Border Road, Chennai, 600001",Pharma / Healthcare,OpenStreetMap,"osm/node/3680482049 | Chennai, TN"
Liberty High Scans,,,04424346665,libertyscans@gmail.com,,"530, TTK Road, Chennai, 600018",Pharma / Healthcare,OpenStreetMap,"osm/node/4488387389 | Chennai, TN"
Neuro Clinic,,,04426164055,,,"H Block 5th street, Chennai",Pharma / Healthcare,OpenStreetMap,"osm/node/5306596304 | Chennai, TN"
Dr. Ram's Diabetes & Endocrine Clinic,,,9333193331,,,"18, J.J. Complex, Jawaharlal Nehru Road, Thirumangalam, Chennai",Pharma / Healthcare,OpenStreetMap,"osm/node/5318562365 | Chennai, TN"
Anbu Dental Implant & Maxillofacial Clinic,,,9940753151,,,Chennai,Pharma / Healthcare,OpenStreetMap,"osm/node/5372752957 | Chennai, TN"
Keerthi clinic,,,9003052532,,,Chennai,Pharma / Healthcare,OpenStreetMap,"osm/node/5489143545 | Chennai, TN"
BK ENT care,,,+91 44 2817 1314,,,"Mahalingapuram Main Road, Chennai, 600034",Pharma / Healthcare,OpenStreetMap,"osm/node/6167503411 | Chennai, TN"
Suman Clinic,,,+91 44 2817 4422,,,"76, Mahalingapuram Main Road, Chennai, 600034",Pharma / Healthcare,OpenStreetMap,"osm/node/6167503412 | Chennai, TN"
Avizham clinic,,,"9841214222,9962222266",,,"23, SAIT Colony 1st Street, Chennai",Pharma / Healthcare,OpenStreetMap,"osm/node/6187367787 | Chennai, TN"
Kauvery Hospital,,,+914440006000,,https://www.kauveryhospital.com/,"#199, Luz Church Road, Chennai, 60004",Pharma / Healthcare,OpenStreetMap,"osm/node/3118864398 | Chennai, TN"
Madras Medical Mission Hospital - Institute of Cardio Vascular Diseases,,,044 2656 5991,icvddoctors@mmm.org.in,http://www.madrasmedicalmission.org/,"4-A, Mogappair East, Chennai, 600037",Pharma / Healthcare,OpenStreetMap,"osm/node/3702797921 | Chennai, TN"
Srinivasan Rajalakshmi Memorial Hospital,,,"+91 98401 17136, +91 44 4504 6010",,,"11/77, 6th street,voltas colony, nanganallur, 600061",Pharma / Healthcare,OpenStreetMap,"osm/node/4329387869 | Chennai, TN"
SRM Institutes For Medical Science,,,+91 44 2000 2001,,https://www.simshospitals.com/,"No. 1, Jawaharlal Nehru Road (100 Feet Road), Chennai, 600026",Pharma / Healthcare,OpenStreetMap,"osm/node/4488082604 | Chennai, TN"
Arunai Hospitals,,,+91 422 453 0142,,,Coimbatore,Pharma / Healthcare,OpenStreetMap,"osm/node/12285349823 | Coimbatore, TN"
Apollo Speciality Hospitals,,,+91-431-3307777,frontoffice_trichy@apollohospitals.com,https://www.apollohospitals.com/hospital-in-trichy.php,"Chennai-Madurai Highway, Ariyamangalam Area, Tiruchirapalli, 620010",Pharma / Healthcare,OpenStreetMap,"osm/node/3734782469 | Trichy, TN"
Atlas Hospital,,,0431-2701248,info@atlashospitals.com,https://www.atlashospitals.com/,"Trichy, 620001",Pharma / Healthcare,OpenStreetMap,"osm/node/5338396371 | Trichy, TN"
Shriram Hospital,,,+914312481116,,,"Plot No. 26, Ram Nagar, Karumandapam, Trichy",Pharma / Healthcare,OpenStreetMap,"osm/node/6164332591 | Trichy, TN"
Dr. G. Viswanathan Speciality Hospitals,,,+914314041234,viswanathanhospital@gmail.com,https://viswanathanhospital.com/,"Trichy, 620002",Pharma / Healthcare,OpenStreetMap,"osm/node/6926437423 | Trichy, TN"
Aiyshwariya Hospital,,,0431-4000969,,aiyshwariyahospitaltrichy@gmail.com,"5/2-1, Kaveri College road, tiruchirapalli, 620003",Pharma / Healthcare,OpenStreetMap,"osm/node/13036672132 | Trichy, TN"
Aishwarya Clinic,,,+91 431 241 1617,,,"12, Goodshed Road, Mudhaliyar Chathiram, Trichy",Pharma / Healthcare,OpenStreetMap,"osm/node/6168847387 | Trichy, TN"
Lbdesignstudio,,,+918939001231,,https://lbdesignstudio.in/,"11thCross, Thillai Nagar, Tiruchirappallai, 620018",Media / Events,OpenStreetMap,"osm/node/8613374365 | Trichy, TN"
